Numero de nos,Numero de arestas,Tempo em ms,Fluxo encontrado
96,374,0.139356,4.6653
160,570,1.03835,970.317
200,966,2.00229,5.0001
500,2080,11.0696,3013.57
640,6074,15.8455,0.5477
960,4122,36.3227,61.3107
1440,10794,59.1302,111.013
2560,88320,334.76,950.332
