Numero de Nos,Numero de Arestas,Tempo em ms,Fluxo encontrado
96,374,0.709168,4.6653
160,570,5.07614,970.317
200,966,11.072,5.0001
500,2080,22.289,3013.57
640,6074,16.9333,0.5477
960,4122,27.4782,61.3107
1440,10794,50.4272,111.013
2560,88320,253.565,950.332
