Numero de Nos,Numero de Arestas,Tempo em ms,Fluxo encontrado
96,187,0.012888,0
160,285,0.02252,0
200,483,0.020774,0
500,1040,0.120765,0
640,3037,0.411455,0
960,2061,0.220263,0
1440,5397,0.369743,0
2560,44160,139.896,631.196
