Numero de nos,Numero de arestas,Tempo em ms,Fluxo encontrado
96,187,0.002768,0
160,285,0.004677,0
200,483,0.004556,0
500,1040,0.019146,0
640,3037,0.067943,0
960,2061,0.045611,0
1440,5397,0.129204,0
2560,44160,204.821,631.196
