Numero de nos,Numero de arestas,Tempo em ms,Fluxo encontrado
96,187,0.007736,0
160,285,0.015031,0
200,483,0.013544,0
500,1040,0.066285,0
640,3037,0.164305,0
960,2061,0.148868,0
1440,5397,0.346341,0
2560,44160,228.169,631.196
